OBJECTID,GEOID10,MathNumAssessed,MathNumReady,AllSbjtNumReady,AllSbjtNumAssessed,EBRWNumAssessed,EBRWNumReady,FinalMathAveScore,FinalAllSbjtAveScore,FinalEWBRWAveScore,MathPctReady,AllSbjtPctReady,EBRWPctReady,Shape__Area,Shape__Length,ZCTA
1,2649883,25,0,0,25,25,6,404.8,841.6,436.8,0,0,0.24,7789234259.90039,579955.603269233,49883
2,2649878,34,12,11,34,34,23,484.4,983.5,499.1,0.352941176470588,0.323529411764706,0.676470588235294,14046974540.123,921741.284966133,49878
3,2649855,285,115,107,285,285,181,507.962105263158,1033.43719298246,525.387368421053,0.403508771929825,0.375438596491228,0.635087719298246,6747444281.85742,1162097.56327609,49855
4,2649408,0,0,0,0,0,0,,,,,,,2995689588.96094,351703.870475865,49408
5,2649010,168,52,49,168,168,87,477.414285714286,967.171428571428,489.678571428571,0.30952380952381,0.291666666666667,0.517857142857143,4615699283.44214,531102.818013098,49010
6,2649055,0,0,0,0,0,0,,,,,,,1698919429.1792,234432.08736451,49055
7,2648604,126,16,15,126,126,54,444,908.7,464.8,0.126984126984127,0.119047619047619,0.428571428571429,730016629.371094,168369.138382106,48604
8,2649106,62,32,29,62,62,41,548.1,1086.6,538.5,0.516129032258065,0.467741935483871,0.661290322580645,483178021.846313,120241.516819659,49106
9,2649128,36,13,11,36,36,20,463.9,957.8,493.9,0.361111111111111,0.305555555555556,0.555555555555556,1204341376.672,207524.498844259,49128
10,2649028,84,37,35,84,84,60,516.3,1027,510.7,0.44047619047619,0.416666666666667,0.714285714285714,3349678224.27124,367383.39095492,49028
11,2649040,37,5,4,37,37,17,458.6,944.1,485.4,0.135135135135135,0.108108108108108,0.459459459459459,1184706294.65405,261609.100929652,49040
12,2649224,47,0,0,47,47,0,375.302127659574,790.634042553192,415.331914893617,0,0,0,2816964712.80835,403934.5444048,49224
13,2649795,0,0,0,0,0,0,,,,,,,3669700291.69531,426299.30823043,49795
14,2649788,13,0,0,13,13,0,373.1,779.2,406.2,0,0,0,217770422.273438,84280.5284332418,49788
15,2649780,43,15,12,43,43,26,490.7,1002.6,511.9,0.348837209302326,0.27906976744186,0.604651162790698,8461829023.76367,765093.797795674,49780
16,2648879,227,88,85,227,227,157,501.768281938326,1029.05462555066,527.286343612335,0.387665198237885,0.374449339207048,0.691629955947137,5292135185.65039,478579.979189274,48879
17,2648866,107,49,44,107,107,75,515.1,1033.5,518.3,0.457943925233645,0.411214953271028,0.700934579439252,1363112196.67383,217380.762546071,48866
18,2648837,369,143,140,369,369,254,503.5,1031.5,528,0.387533875338753,0.37940379403794,0.688346883468835,2236340871.82178,289062.49748577,48837
19,2649801,85,33,32,85,85,54,497.1,1014.4,517.3,0.388235294117647,0.376470588235294,0.635294117647059,4356408361.03906,754896.745716157,49801
20,2648917,364,51,48,364,364,136,431.737912087912,888.779945054945,457.082967032967,0.14010989010989,0.131868131868132,0.373626373626374,692424525.053223,161185.830331308,48917
21,2648415,131,42,35,131,131,77,491.2,985.9,494.7,0.320610687022901,0.267175572519084,0.587786259541985,1825109410.89111,280336.416792238,48415
22,2648847,93,34,30,93,93,60,503.3,1006.3,503,0.365591397849462,0.32258064516129,0.645161290322581,3421828420.10254,336806.45279681,48847
23,2649246,76,25,24,76,76,49,492,1016.2,524.2,0.328947368421053,0.315789473684211,0.644736842105263,991251418.79541,211426.264165498,49246
24,2648864,686,310,302,686,686,446,517.842419825073,1051.71895043732,533.870991253644,0.451895043731778,0.440233236151603,0.650145772594752,605961761.278809,127942.317913181,48864
25,2648858,311,154,140,311,311,192,522.200321543408,1034.85112540193,512.725723472669,0.495176848874598,0.45016077170418,0.617363344051447,4849865348.33203,563897.950456986,48858
26,2649202,63,12,11,63,63,29,457.6,928.4,470.8,0.19047619047619,0.174603174603175,0.46031746031746,389819920.672119,157479.006460473,49202
27,2649008,82,0,0,82,82,0,377.435365853659,778.524390243902,401.089024390244,0,0,0,188155428.67334,72860.5715516888,49008
28,2649002,658,258,250,658,658,446,505.665653495441,1035.59392097264,529.928267477204,0.39209726443769,0.379939209726444,0.677811550151976,569830159.47168,138099.473619652,49002
29,2649053,79,23,22,79,79,55,487.2,1005.9,518.7,0.291139240506329,0.278481012658228,0.69620253164557,714691872.706299,201281.181930924,49053
30,2649071,286,150,145,286,286,218,533.4,1082.9,549.6,0.524475524475524,0.506993006993007,0.762237762237762,812297744.373535,226870.620732055,49071
31,2649646,106,36,32,106,106,53,477.5,964.7,487.3,0.339622641509434,0.30188679245283,0.5,6346519892.36133,656685.675780845,49646
32,2649544,212,69,65,212,212,125,485.395283018868,986.88679245283,501.500471698113,0.325471698113208,0.306603773584906,0.589622641509434,584530018.76709,185886.617243511,49544
33,2649525,533,305,287,533,533,397,543.363039399625,1093.55178236398,550.142213883677,0.572232645403377,0.538461538461538,0.74484052532833,683970002.724609,125331.831644207,49525
34,2649330,89,32,30,89,89,55,491.7,1005.7,514,0.359550561797753,0.337078651685393,0.617977528089888,1247671799.94189,226767.399546573,49330
35,2648371,460,192,183,460,460,297,507.594347826087,1028.49,520.989130434783,0.417391304347826,0.397826086956522,0.645652173913044,1235618093.33496,207362.924188193,48371
36,2648014,98,21,20,98,98,51,464.161224489796,958.144897959184,493.971428571429,0.214285714285714,0.204081632653061,0.520408163265306,1025657707.47754,153001.046384664,48014
37,2649228,84,37,33,84,84,53,505.5,1016.8,511.3,0.44047619047619,0.392857142857143,0.630952380952381,2223019627.1955,311374.916008961,49228
38,2649221,302,81,69,302,302,151,481.285430463576,979.852317880795,498.566887417219,0.268211920529801,0.228476821192053,0.5,3320113481.22229,435492.92471181,49221
39,2649236,78,39,36,78,78,54,526.5,1041.3,514.7,0.5,0.461538461538462,0.692307692307692,1053678069.51465,247056.705299053,49236
40,2648380,305,139,133,305,305,213,517.2,1049,531.8,0.455737704918033,0.436065573770492,0.698360655737705,752500750.591309,187144.651044014,48380
