"","State_Name","County","City","Zip_Code","AllSbjtNumReady","AllSbjtNumAssessed","Lat","Lon","Mean_Income","Median_Income","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore","MathPctReady","TotalPerReady","EBRWPctReady","Median","Income_Level","difference_from_avg_median"
"1","Michigan","Monroe County","Dundee",48131,37,124,41.966485,-83.66945,53005,44248,479.7,998.5,518.9,0.32258064516129,0.298387096774194,0.661290322580645,44248,"Medium",27260.6754563895
"2","Michigan","Macomb County","Eastpointe",48021,0,150,42.46608,-82.946341,49388,41378,405.4,829,423.6,0.0533333333333333,0,0.18,41378,"Medium",30130.6754563895
"3","Michigan","Benzie County","Frankfort",49635,22,42,44.620597,-86.234032,49551,45623,538.1,1084.8,546.7,0.547619047619048,0.523809523809524,0.785714285714286,45623,"Medium",25885.6754563895
"4","Michigan","Osceola County","Evart",49631,10,75,43.898807,-85.270534,30592,18838,436.4,887.2,450.8,0.16,0.133333333333333,0.293333333333333,18838,"Low",52670.6754563895
"5","Michigan","Oakland County","Ferndale",48220,42,324,42.459237,-83.131343,61986,50997,430.286111111111,883.60462962963,453.318518518519,0.141975308641975,0.12962962962963,0.305555555555556,50997,"Medium",20511.6754563895
"6","Michigan","Tuscola County","Otisville",48463,21,92,43.250726,-83.371385,53011,45755,468.8,948.9,480.1,0.293478260869565,0.228260869565217,0.478260869565217,45755,"Medium",25753.6754563895
"7","Michigan","Mason County","Manistee",49660,57,323,44.107086,-86.211027,38291,33235,455.155108359133,937.941176470588,482.686068111455,0.191950464396285,0.176470588235294,0.507739938080495,33235,"Low",38273.6754563895
"8","Michigan","Otsego County","Gaylord",49735,114,228,45.021148,-84.679641,45478,32194,531.9,1051.8,519.9,0.548245614035088,0.5,0.684210526315789,32194,"Low",39314.6754563895
"9","Michigan","Clinton County","Grand Ledge",48837,140,369,42.752927,-84.744901,0,0,503.5,1031.5,528,0.387533875338753,0.37940379403794,0.688346883468835,0,"Low",71508.6754563895
"10","Michigan","Wayne County","Grosse Pointe Farms",48236,400,697,42.383942,-82.903893,117975,98840,554.05824964132,1119.89569583931,565.837446197991,0.582496413199426,0.573888091822095,0.81922525107604,98840,"High",-27331.3245436105
"11","Michigan","Benzie County","Traverse City",49684,194,387,44.719582,-85.822093,67699,300000,534.7,1063.3,528.6,0.542635658914729,0.501291989664083,0.661498708010336,3e+05,"High",-228491.324543611
