"Zip_Code","Median","FinalMathAveScore","FinalAllSbjtAveScore","FinalEWBRWAveScore"
48131,44248,479.7,998.5,518.9
48021,41378,405.4,829,423.6
49635,45623,538.1,1084.8,546.7
49631,18838,436.4,887.2,450.8
48220,50997,430.286111111111,883.60462962963,453.318518518519
48463,45755,468.8,948.9,480.1
49660,33235,455.155108359133,937.941176470588,482.686068111455
49735,32194,531.9,1051.8,519.9
48837,0,503.5,1031.5,528
48236,98840,554.05824964132,1119.89569583931,565.837446197991
49684,3e+05,534.7,1063.3,528.6
49058,42396,492.5,992.9,500.4
49746,24551,475.6,950.7,475.2
49931,29120,575.2,1141.8,566.6
49849,35122,501.773529411765,1017.95441176471,516.180882352941
48848,65368,491.8,1002.9,511.1
49769,34245,485.5,987.6,502.2
49331,58727,537.9,1074.7,536.7
49701,34103,543.8,1091.5,547.7
48040,53951,517.5,1035.6,518.1
49072,54422,454.3,936.2,481.9
48640,14256,549.975884955752,1096.07013274336,546.094247787611
49437,46578,482.2,972.9,490.7
49868,32733,462.4,936.2,473.8
49445,55346,468.190909090909,956.89375,488.702840909091
48616,39000,488.3,990.1,501.8
49953,29993,478,987.6,509.6
48001,62212,490.2,999.9,509.8
48755,37169,484.9,976.8,491.8
48445,30689,514.5,1026.1,511.6
49083,61402,520.19012345679,1053.23251028807,533.042386831276
49779,39240,484.7,995.2,510.5
48601,28008,372.739024390244,771.117073170732,398.378048780488
48176,65561,472,989,517
49633,42197,454.1,942.6,488.5
49345,41323,522.7,1045.1,522.4
48313,59483,519.75290957923,1032.85971351835,513.085586392122
48763,39547,487.9,988.2,500.3
48183,55950,514.6,1028.5,513.9
48767,41234,504.3,1033.7,529.3
48236,3e+05,554.05824964132,1119.89569583931,565.837446197991
48015,43185,445.891428571429,915.154285714286,469.262857142857
48189,55301,505.1,1030.7,525.6
49707,33535,495.131182795699,1005.34050179211,510.209318996416
49013,33068,446.5,922,475.5
49720,40869,489.5,1006.3,513.5
49615,37585,509.1,1024.7,515.6
49616,41410,393.3,810,416.7
49028,37767,516.3,1027,510.7
49765,3e+05,474.9,952.9,478
49330,43375,491.7,1005.7,514
49622,38699,469.5,980.5,511.1
48617,0,529.4,1065.3,535.9
49038,46278,462.3,949.8,487.4
48206,25417,377.4,760.4,383
48228,20887,375.38672985782,779.056872037915,403.670142180095
48843,89387,505.7,1010.6,504.9
48228,16348,375.38672985782,779.056872037915,403.670142180095
48228,26348,375.38672985782,779.056872037915,403.670142180095
48228,21507,375.38672985782,779.056872037915,403.670142180095
48228,25877,375.38672985782,779.056872037915,403.670142180095
